type,name,email,createdAt,sku,description,price,active,qty,category,order,items,status,method,reference,expiresAt
CATEGORY,Shirts,,,,,,,,,,,,,,,
CATEGORY,Pants,,,,,,,,,,,,,,,
CATEGORY,Shoes,,,,,,,,,,,,,,,
CATEGORY,Hats,,,,,,,,,,,,,,,
CATEGORY,Jackets,,,,,,,,,,,,,,,
CATEGORY,Accessories,,,,,,,,,,,,,,,
CATEGORY,Socks,,,,,,,,,,,,,,,
CATEGORY,Outerwear,,,,,,,,,,,,,,,
CATEGORY,Underwear,,,,,,,,,,,,,,,
CATEGORY,Sportswear,,,,,,,,,,,,,,,
CUSTOMER,Customer 1,customer1@example.com,2025-02-14T10:15:28.4163009,,,,,,,,,,,,,
CUSTOMER,Customer 2,customer2@example.com,2025-04-05T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 3,customer3@example.com,2025-08-26T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 4,customer4@example.com,2025-08-01T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 5,customer5@example.com,2026-01-15T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 6,customer6@example.com,2025-09-29T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 7,customer7@example.com,2025-04-26T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 8,customer8@example.com,2025-05-06T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 9,customer9@example.com,2025-11-18T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 10,customer10@example.com,2025-08-30T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 11,customer11@example.com,2025-12-11T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 12,customer12@example.com,2026-01-03T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 13,customer13@example.com,2025-11-26T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 14,customer14@example.com,2025-02-28T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 15,customer15@example.com,2025-08-03T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 16,customer16@example.com,2025-12-01T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 17,customer17@example.com,2025-05-09T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 18,customer18@example.com,2025-02-02T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 19,customer19@example.com,2025-03-31T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 20,customer20@example.com,2025-05-03T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 21,customer21@example.com,2025-09-18T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 22,customer22@example.com,2025-02-12T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 23,customer23@example.com,2025-09-26T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 24,customer24@example.com,2025-05-12T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 25,customer25@example.com,2026-01-16T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 26,customer26@example.com,2025-09-25T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 27,customer27@example.com,2025-09-21T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 28,customer28@example.com,2025-12-14T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 29,customer29@example.com,2025-05-19T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 30,customer30@example.com,2025-06-25T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 31,customer31@example.com,2025-10-17T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 32,customer32@example.com,2025-02-17T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 33,customer33@example.com,2025-02-07T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 34,customer34@example.com,2025-10-03T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 35,customer35@example.com,2025-03-13T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 36,customer36@example.com,2025-02-12T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 37,customer37@example.com,2025-01-31T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 38,customer38@example.com,2025-05-07T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 39,customer39@example.com,2025-05-21T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 40,customer40@example.com,2025-11-11T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 41,customer41@example.com,2025-08-02T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 42,customer42@example.com,2025-09-15T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 43,customer43@example.com,2025-04-17T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 44,customer44@example.com,2025-10-18T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 45,customer45@example.com,2025-04-03T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 46,customer46@example.com,2025-10-07T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 47,customer47@example.com,2025-09-30T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 48,customer48@example.com,2025-03-07T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 49,customer49@example.com,2025-03-03T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 50,customer50@example.com,2025-03-14T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 51,customer51@example.com,2025-04-28T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 52,customer52@example.com,2025-03-19T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 53,customer53@example.com,2025-06-04T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 54,customer54@example.com,2025-11-23T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 55,customer55@example.com,2025-01-23T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 56,customer56@example.com,2025-09-12T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 57,customer57@example.com,2025-09-03T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 58,customer58@example.com,2025-08-27T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 59,customer59@example.com,2025-05-27T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 60,customer60@example.com,2025-08-14T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 61,customer61@example.com,2025-10-13T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 62,customer62@example.com,2025-05-14T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 63,customer63@example.com,2025-05-22T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 64,customer64@example.com,2025-03-13T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 65,customer65@example.com,2025-12-08T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 66,customer66@example.com,2025-08-05T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 67,customer67@example.com,2025-07-12T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 68,customer68@example.com,2025-10-19T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 69,customer69@example.com,2025-01-25T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 70,customer70@example.com,2025-04-18T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 71,customer71@example.com,2025-09-22T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 72,customer72@example.com,2025-06-01T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 73,customer73@example.com,2025-03-31T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 74,customer74@example.com,2025-07-16T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 75,customer75@example.com,2025-12-17T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 76,customer76@example.com,2025-09-02T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 77,customer77@example.com,2025-11-30T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 78,customer78@example.com,2025-05-27T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 79,customer79@example.com,2025-05-14T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 80,customer80@example.com,2025-04-25T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 81,customer81@example.com,2025-05-20T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 82,customer82@example.com,2025-12-14T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 83,customer83@example.com,2025-05-21T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 84,customer84@example.com,2025-05-04T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 85,customer85@example.com,2025-11-01T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 86,customer86@example.com,2025-08-20T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 87,customer87@example.com,2026-01-21T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 88,customer88@example.com,2025-12-25T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 89,customer89@example.com,2025-04-03T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 90,customer90@example.com,2025-09-18T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 91,customer91@example.com,2025-12-11T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 92,customer92@example.com,2026-01-14T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 93,customer93@example.com,2025-04-20T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 94,customer94@example.com,2025-09-28T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 95,customer95@example.com,2025-04-26T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 96,customer96@example.com,2025-09-09T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 97,customer97@example.com,2025-05-15T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 98,customer98@example.com,2025-01-30T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 99,customer99@example.com,2025-05-22T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 100,customer100@example.com,2026-01-20T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 101,customer101@example.com,2025-12-20T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 102,customer102@example.com,2025-09-16T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 103,customer103@example.com,2025-11-12T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 104,customer104@example.com,2025-09-09T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 105,customer105@example.com,2025-08-10T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 106,customer106@example.com,2025-07-25T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 107,customer107@example.com,2025-07-01T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 108,customer108@example.com,2025-03-15T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 109,customer109@example.com,2025-03-20T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 110,customer110@example.com,2025-07-25T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 111,customer111@example.com,2025-10-09T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 112,customer112@example.com,2025-10-17T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 113,customer113@example.com,2025-02-27T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 114,customer114@example.com,2025-06-06T10:15:28.4171562,,,,,,,,,,,,,
CUSTOMER,Customer 115,customer115@example.com,2025-09-29T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 116,customer116@example.com,2026-01-12T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 117,customer117@example.com,2025-04-27T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 118,customer118@example.com,2025-12-21T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 119,customer119@example.com,2025-08-28T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 120,customer120@example.com,2025-08-02T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 121,customer121@example.com,2025-04-04T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 122,customer122@example.com,2026-01-01T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 123,customer123@example.com,2025-04-30T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 124,customer124@example.com,2025-08-28T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 125,customer125@example.com,2025-07-02T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 126,customer126@example.com,2025-01-28T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 127,customer127@example.com,2025-04-15T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 128,customer128@example.com,2025-09-08T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 129,customer129@example.com,2025-04-04T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 130,customer130@example.com,2025-01-27T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 131,customer131@example.com,2025-04-15T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 132,customer132@example.com,2025-08-15T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 133,customer133@example.com,2025-09-14T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 134,customer134@example.com,2025-10-17T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 135,customer135@example.com,2025-06-28T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 136,customer136@example.com,2025-07-04T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 137,customer137@example.com,2025-04-02T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 138,customer138@example.com,2025-04-30T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 139,customer139@example.com,2025-07-08T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 140,customer140@example.com,2025-12-22T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 141,customer141@example.com,2025-03-27T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 142,customer142@example.com,2025-12-02T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 143,customer143@example.com,2025-05-20T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 144,customer144@example.com,2025-12-30T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 145,customer145@example.com,2026-01-16T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 146,customer146@example.com,2026-01-13T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 147,customer147@example.com,2025-02-15T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 148,customer148@example.com,2025-03-29T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 149,customer149@example.com,2025-09-21T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 150,customer150@example.com,2025-09-28T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 151,customer151@example.com,2025-04-06T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 152,customer152@example.com,2025-05-09T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 153,customer153@example.com,2025-05-01T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 154,customer154@example.com,2025-12-10T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 155,customer155@example.com,2025-08-17T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 156,customer156@example.com,2025-06-13T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 157,customer157@example.com,2025-12-13T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 158,customer158@example.com,2025-11-15T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 159,customer159@example.com,2025-07-17T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 160,customer160@example.com,2025-09-29T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 161,customer161@example.com,2025-12-12T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 162,customer162@example.com,2025-10-20T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 163,customer163@example.com,2025-08-22T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 164,customer164@example.com,2025-09-27T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 165,customer165@example.com,2025-02-28T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 166,customer166@example.com,2025-10-15T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 167,customer167@example.com,2025-06-24T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 168,customer168@example.com,2025-06-08T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 169,customer169@example.com,2025-09-23T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 170,customer170@example.com,2025-01-29T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 171,customer171@example.com,2025-08-30T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 172,customer172@example.com,2026-01-13T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 173,customer173@example.com,2025-07-27T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 174,customer174@example.com,2025-05-28T10:15:28.4216102,,,,,,,,,,,,,
CUSTOMER,Customer 175,customer175@example.com,2025-05-31T10:15:28.4216102,,,,,,,,,,,,,
